drug_name,raw_score,total_reviews,positive_reviews,side_effects,age_completion,gender_completion,trust_score
detrol,0.5,2,1,0,0.0,0.0,0.75
duexis,0.5,2,1,0,0.0,0.0,0.75
stalevo,0.5,2,1,0,0.0,0.0,0.75
lovastatin,0.5,2,1,0,0.0,0.0,0.75
amantadine,0.5,4,2,0,0.25,0.25,0.75
alrex,0.5,2,1,0,0.0,0.0,0.75
privine,0.5,2,1,0,0.0,0.0,0.75
proair hfa,0.5,2,1,0,0.0,0.0,0.75
clearlax,0.5,3,2,0,0.0,0.3333333333333333,0.75
inderal la,0.5,2,1,0,0.0,0.5,0.75
insulin aspart,0.5,2,1,0,0.0,0.5,0.75
prilosec otc,0.5,4,2,0,0.25,0.0,0.75
enablex,0.5,4,2,0,0.0,0.25,0.75
eltrombopag,0.5,2,1,0,0.0,0.5,0.75
meperidine,0.47692307692307695,13,7,0,0.15384615384615385,0.15384615384615385,0.7384615384615385
androgel,0.475,20,13,2,0.35,0.4,0.7375
xifaxan,0.4727272727272727,11,7,1,0.0,0.18181818181818182,0.7363636363636363
sodium hyaluronate,0.4722222222222222,36,18,1,0.1388888888888889,0.25,0.7361111111111112
ziana,0.47058823529411764,17,8,0,0.058823529411764705,0.29411764705882354,0.7352941176470589
olopatadine,0.4666666666666667,15,7,0,0.06666666666666667,0.13333333333333333,0.7333333333333334
fluocinolone / hydroquinone / tretinoin,0.4666666666666667,9,5,0,0.0,0.2222222222222222,0.7333333333333334
hyaluronan,0.4636363636363636,22,11,0,0.13636363636363635,0.3181818181818182,0.7318181818181818
fioricet,0.46071428571428574,28,17,1,0.0,0.17857142857142858,0.7303571428571429
rabeprazole,0.45454545454545453,11,5,0,0.0,0.0,0.7272727272727273
voltaren,0.45,20,9,0,0.25,0.1,0.725
oxytrol,0.4444444444444444,18,9,1,0.05555555555555555,0.16666666666666666,0.7222222222222222
hylan g-f 20,0.4444444444444444,18,8,0,0.05555555555555555,0.1111111111111111,0.7222222222222222
allopurinol,0.4444444444444444,9,4,0,0.3333333333333333,0.1111111111111111,0.7222222222222222
fluticasone,0.4379310344827586,29,15,1,0.0,0.06896551724137931,0.7189655172413794
tussionex pennkinetic,0.43478260869565216,23,12,0,0.08695652173913043,0.043478260869565216,0.717391304347826
invega sustenna,0.42857142857142855,7,3,0,0.0,0.14285714285714285,0.7142857142857143
nasonex,0.42857142857142855,7,3,0,0.0,0.0,0.7142857142857143
ibuprofen,0.42857142857142855,14,7,0,0.07142857142857142,0.07142857142857142,0.7142857142857143
fleet enema,0.42857142857142855,7,3,0,0.0,0.14285714285714285,0.7142857142857143
voltaren gel,0.4258064516129032,31,16,1,0.06451612903225806,0.12903225806451613,0.7129032258064516
hydrocodone / ibuprofen,0.425,20,11,2,0.05,0.15,0.7125
celecoxib,0.42424242424242425,33,15,0,0.21212121212121213,0.21212121212121213,0.7121212121212122
clorazepate,0.42000000000000004,5,3,0,0.0,0.0,0.71
pimecrolimus,0.42000000000000004,10,5,0,0.1,0.1,0.71
adapalene / benzoyl peroxide,0.41884057971014493,138,64,3,0.050724637681159424,0.2391304347826087,0.7094202898550724
benzocaine,0.4166666666666667,6,3,0,0.0,0.0,0.7083333333333334
embeda,0.41,10,6,1,0.3,0.3,0.705
xenical,0.4,5,2,0,0.0,0.8,0.7
zelnorm,0.4,5,2,0,0.0,0.4,0.7
azelastine,0.4,15,6,0,0.0,0.06666666666666667,0.7
evekeo,0.4,5,2,0,0.0,0.0,0.7
aspirin / butalbital / caffeine,0.4,15,7,0,0.0,0.26666666666666666,0.7
quinine,0.4,5,2,0,0.0,0.0,0.7
methenamine,0.4,5,2,0,0.0,0.4,0.7
duac,0.39999999999999997,38,16,0,0.02631578947368421,0.15789473684210525,0.7
crisaborole,0.4,5,3,1,0.0,0.4,0.7
trilipix,0.4,5,2,0,0.0,0.0,0.7
trospium,0.4,5,2,0,0.2,0.4,0.7
nasacort,0.4,10,5,1,0.0,0.2,0.7
acetaminophen / phenyltoloxamine,0.4,5,2,0,0.0,0.0,0.7
lastacaft,0.4,5,2,0,0.0,0.2,0.7
frovatriptan,0.4,10,5,1,0.0,0.1,0.7
bromocriptine,0.4,5,2,0,0.0,0.4,0.7
benzoyl peroxide / clindamycin,0.3975308641975309,81,33,0,0.06172839506172839,0.19753086419753085,0.6987654320987655
invega,0.38235294117647056,17,8,0,0.058823529411764705,0.17647058823529413,0.6911764705882353
robaxin,0.375,8,4,0,0.0,0.25,0.6875
midazolam,0.375,8,4,1,0.0,0.125,0.6875
ampyra,0.375,8,4,1,0.0,0.125,0.6875
proctofoam,0.375,4,2,0,0.0,0.5,0.6875
vedolizumab,0.375,4,2,0,0.0,0.0,0.6875
desonide,0.375,8,3,0,0.0,0.0,0.6875
axert,0.375,4,2,0,0.0,0.0,0.6875
sulfacetamide sodium / sulfur,0.375,8,3,0,0.0,0.25,0.6875
relafen,0.375,8,3,0,0.0,0.125,0.6875
norco,0.37317073170731707,41,20,2,0.04878048780487805,0.1951219512195122,0.6865853658536585
epiduo,0.3697368421052632,76,31,0,0.05263157894736842,0.3026315789473684,0.6848684210526316
diclofenac,0.3686440677966102,118,56,5,0.11016949152542373,0.1440677966101695,0.6843220338983051
maxalt,0.3684210526315789,19,9,1,0.0,0.3157894736842105,0.6842105263157895
vicodin,0.36818181818181817,22,11,1,0.045454545454545456,0.18181818181818182,0.6840909090909091
emollients,0.3666666666666667,6,3,0,0.0,0.3333333333333333,0.6833333333333333
donnatal,0.3666666666666667,6,3,0,0.0,0.0,0.6833333333333333
alli,0.36428571428571427,14,6,0,0.0,0.14285714285714285,0.6821428571428572
carisoprodol,0.3621621621621622,37,19,0,0.02702702702702703,0.08108108108108109,0.6810810810810811
sumavel dosepro,0.35555555555555557,9,5,0,0.2222222222222222,0.1111111111111111,0.6777777777777778
metaxalone,0.35294117647058826,17,8,2,0.0,0.058823529411764705,0.6764705882352942
lialda,0.35294117647058826,17,7,0,0.058823529411764705,0.058823529411764705,0.6764705882352942
pseudoephedrine,0.35000000000000003,12,6,1,0.08333333333333333,0.08333333333333333,0.675
eletriptan,0.3464285714285714,28,15,4,0.17857142857142858,0.07142857142857142,0.6732142857142858
tiotropium,0.34615384615384615,13,6,1,0.07692307692307693,0.23076923076923078,0.6730769230769231
amphetamine,0.34444444444444444,9,5,1,0.1111111111111111,0.1111111111111111,0.6722222222222223
viagra,0.34444444444444444,36,15,1,0.5,0.3888888888888889,0.6722222222222223
guaifenesin,0.34324324324324323,37,18,3,0.10810810810810811,0.16216216216216217,0.6716216216216216
drixoral cold and allergy,0.34285714285714286,7,4,0,0.0,0.0,0.6714285714285715
tretinoin,0.34249999999999997,80,32,3,0.125,0.35,0.67125
zanaflex,0.33999999999999997,15,7,1,0.13333333333333333,0.13333333333333333,0.6699999999999999
tioconazole,0.3388888888888889,270,104,4,0.025925925925925925,0.337037037037037,0.6694444444444445
lifitegrast,0.3368421052631579,19,9,1,0.05263157894736842,0.2631578947368421,0.6684210526315789
acetaminophen / codeine,0.3346153846153846,26,11,1,0.11538461538461539,0.15384615384615385,0.6673076923076923
edarbyclor,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
eligard,0.3333333333333333,3,1,0,0.3333333333333333,0.6666666666666666,0.6666666666666666
imodium a-d,0.3333333333333333,3,2,1,0.0,0.0,0.6666666666666666
immune globulin subcutaneous,0.3333333333333333,3,1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666
citranatal 90 dha,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
hyoscyamine / methenamine / methylene blue / phenyl salicylate,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
indocin sr,0.3333333333333333,3,1,0,0.3333333333333333,0.0,0.6666666666666666
hydrocortisone / neomycin / polymyxin b,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
dymista,0.3333333333333333,15,8,3,0.0,0.2,0.6666666666666666
econazole,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
certolizumab,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
klonopin wafer,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
alfuzosin,0.3333333333333333,9,5,2,0.0,0.1111111111111111,0.6666666666666666
chlorthalidone,0.3333333333333333,3,1,0,0.3333333333333333,0.0,0.6666666666666666
cenestin,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
lantus,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
hydrochlorothiazide / olmesartan,0.3333333333333333,6,2,0,0.16666666666666666,0.3333333333333333,0.6666666666666666
keytruda,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
tazarotene,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
chondroitin / glucosamine,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
balsalazide,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
pentazocine,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
undecylenic acid,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
ranibizumab,0.3333333333333333,3,1,0,0.6666666666666666,0.0,0.6666666666666666
kadian,0.3333333333333333,6,2,0,0.3333333333333333,0.0,0.6666666666666666
hydrocortisone,0.3333333333333333,9,3,0,0.0,0.1111111111111111,0.6666666666666666
ammonium lactate,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
norel sr,0.3333333333333333,3,2,1,0.0,0.0,0.6666666666666666
boniva,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
bextra,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
nuedexta,0.3333333333333333,3,1,0,0.0,0.6666666666666666,0.6666666666666666
betamethasone,0.3333333333333333,6,3,1,0.0,0.0,0.6666666666666666
benzphetamine,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
estrace vaginal cream,0.3333333333333333,15,6,1,0.3333333333333333,0.4,0.6666666666666666
fioricet with codeine,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
trivora,0.3333333333333333,3,1,0,0.0,0.6666666666666666,0.6666666666666666
namenda,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
narcan injection,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
salonpas pain patch,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
muse,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
brompheniramine,0.3333333333333333,3,2,1,0.0,0.0,0.6666666666666666
ryzolt,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
lotemax,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
migranal,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
trifluoperazine,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
gardasil,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
calcium carbonate,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
caffeine / ergotamine,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
actonel,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
fycompa,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
alirocumab,0.3333333333333333,3,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
lorzone,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
sitagliptin,0.3333333333333333,15,5,0,0.2,0.13333333333333333,0.6666666666666666
colchicine,0.3333333333333333,9,4,0,0.0,0.2222222222222222,0.6666666666666666
allegra-d 24 hour,0.3333333333333333,3,2,1,0.0,0.3333333333333333,0.6666666666666666
clozapine,0.3333333333333333,6,3,1,0.0,0.16666666666666666,0.6666666666666666
reclast,0.3333333333333333,3,1,0,0.3333333333333333,0.0,0.6666666666666666
rectiv,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
bactroban,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
prenatal plus,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
zovirax,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
vicodin es,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
enoxaparin,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
doxazosin,0.3333333333333333,3,2,1,0.0,0.0,0.6666666666666666
ayr saline nasal,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
retapamulin,0.3333333333333333,3,1,0,0.0,0.0,0.6666666666666666
protopic,0.3333333333333333,3,1,0,0.0,0.3333333333333333,0.6666666666666666
entyvio,0.3333333333333333,6,3,1,0.0,0.0,0.6666666666666666
azelaic acid,0.32727272727272727,22,9,1,0.09090909090909091,0.22727272727272727,0.6636363636363636
hypercare,0.32682926829268294,41,17,2,0.14634146341463414,0.2926829268292683,0.6634146341463415
adapalene,0.325,56,21,2,0.08928571428571429,0.2857142857142857,0.6625
hyoscyamine,0.3235294117647059,17,7,0,0.058823529411764705,0.058823529411764705,0.6617647058823529
acetaminophen / hydrocodone,0.3216867469879518,166,70,7,0.0783132530120482,0.10843373493975904,0.6608433734939759
lansoprazole,0.3181818181818182,11,5,1,0.2727272727272727,0.18181818181818182,0.6590909090909091
glatiramer,0.3181818181818182,22,7,0,0.09090909090909091,0.09090909090909091,0.6590909090909091
synvisc-one,0.31764705882352945,17,7,0,0.0,0.0,0.6588235294117647
chlorpheniramine / hydrocodone,0.3125,16,8,2,0.0,0.125,0.65625
budesonide / formoterol,0.31071428571428567,28,11,0,0.07142857142857142,0.17857142857142858,0.6553571428571429
eluxadoline,0.31071428571428567,28,14,2,0.17857142857142858,0.25,0.6553571428571429
flonase,0.3105263157894737,19,8,0,0.0,0.2631578947368421,0.6552631578947369
l-methylfolate,0.3076923076923077,13,5,0,0.3076923076923077,0.07692307692307693,0.6538461538461539
fluorouracil,0.3076923076923077,26,8,0,0.07692307692307693,0.15384615384615385,0.6538461538461539
canagliflozin,0.3069767441860465,43,18,0,0.18604651162790697,0.09302325581395349,0.6534883720930232
clindamycin / tretinoin,0.30689655172413793,29,11,0,0.0,0.3448275862068966,0.653448275862069
aluminum chloride hexahydrate,0.3048543689320388,103,40,7,0.07766990291262135,0.3106796116504854,0.6524271844660194
amerge,0.3,5,3,1,0.0,0.2,0.65
tegretol xr,0.3,5,2,0,0.2,0.6,0.65
advil,0.3,5,2,0,0.0,0.2,0.65
velivet,0.3,7,3,0,0.0,0.2857142857142857,0.65
dexedrine,0.3,10,4,0,0.2,0.4,0.65
phenazopyridine,0.3,25,10,1,0.04,0.16,0.65
phenylephrine,0.3,4,2,0,0.0,0.0,0.65
estradiol patch,0.3,5,2,0,0.4,0.6,0.65
nexium,0.3,20,8,2,0.2,0.15,0.65
roflumilast,0.3,7,4,1,0.0,0.14285714285714285,0.65
entocort ec,0.3,4,2,0,0.0,0.0,0.65
dabigatran,0.3,10,4,1,0.0,0.1,0.65
treprostinil,0.3,5,2,0,0.0,0.0,0.65
lidocaine,0.296551724137931,29,13,2,0.034482758620689655,0.1724137931034483,0.6482758620689655
benzonatate,0.2953125,64,27,1,0.109375,0.171875,0.64765625
soma,0.29523809523809524,21,9,0,0.047619047619047616,0.0,0.6476190476190476
advair diskus,0.29411764705882354,17,6,0,0.11764705882352941,0.35294117647058826,0.6470588235294118
mometasone,0.29310344827586204,29,12,3,0.0,0.034482758620689655,0.646551724137931
estradiol,0.29310344827586204,58,24,4,0.06896551724137931,0.1724137931034483,0.646551724137931
singulair,0.2911764705882353,34,15,2,0.08823529411764706,0.11764705882352941,0.6455882352941177
ixekizumab,0.29,10,5,0,0.1,0.3,0.645
aleve,0.2888888888888889,18,7,0,0.0,0.05555555555555555,0.6444444444444445
lidoderm,0.2875,16,7,0,0.0,0.0625,0.64375
rogaine,0.2857142857142857,7,2,0,0.14285714285714285,0.2857142857142857,0.6428571428571428
correctol,0.2857142857142857,7,2,0,0.0,0.0,0.6428571428571428
afrezza,0.2857142857142857,7,2,0,0.0,0.0,0.6428571428571428
ketoconazole,0.2857142857142857,7,2,0,0.0,0.0,0.6428571428571428
ceftriaxone,0.2857142857142857,14,6,2,0.0,0.07142857142857142,0.6428571428571428
accutane,0.2846938775510204,98,38,4,0.20408163265306123,0.2857142857142857,0.6423469387755102
ranexa,0.2777777777777778,9,3,0,0.0,0.1111111111111111,0.6388888888888888
lysine,0.2777777777777778,9,3,0,0.0,0.1111111111111111,0.6388888888888888
drysol,0.27636363636363637,55,17,1,0.03636363636363636,0.23636363636363636,0.6381818181818182
mirabegron,0.275,28,11,2,0.25,0.21428571428571427,0.6375
monistat 7,0.2692307692307692,26,8,0,0.038461538461538464,0.38461538461538464,0.6346153846153846
opana er,0.2692307692307692,13,5,1,0.38461538461538464,0.15384615384615385,0.6346153846153846
dexbrompheniramine / pseudoephedrine,0.26666666666666666,15,7,3,0.0,0.26666666666666666,0.6333333333333333
subsys,0.26666666666666666,6,3,0,0.16666666666666666,0.3333333333333333,0.6333333333333333
demerol,0.26666666666666666,15,7,3,0.13333333333333333,0.06666666666666667,0.6333333333333333
lortab,0.2655172413793104,29,12,1,0.06896551724137931,0.2413793103448276,0.6327586206896552
esomeprazole,0.2647058823529412,17,6,1,0.11764705882352941,0.17647058823529413,0.6323529411764706
azelastine / fluticasone,0.2611111111111111,18,7,1,0.0,0.1111111111111111,0.6305555555555555
efinaconazole,0.25882352941176473,17,6,0,0.058823529411764705,0.35294117647058826,0.6294117647058823
clobetasol,0.25833333333333336,24,7,0,0.0,0.041666666666666664,0.6291666666666667
stelara,0.2576923076923077,26,9,1,0.23076923076923078,0.38461538461538464,0.6288461538461538
meloxicam,0.2569444444444444,72,33,9,0.125,0.1111111111111111,0.6284722222222222
indomethacin,0.25588235294117645,34,15,2,0.17647058823529413,0.20588235294117646,0.6279411764705882
abreva,0.255,40,15,0,0.0,0.2,0.6275
naproxen,0.2549295774647887,71,29,4,0.07042253521126761,0.14084507042253522,0.6274647887323943
acetaminophen / oxycodone,0.25255474452554744,137,61,11,0.08759124087591241,0.10218978102189781,0.6262773722627737
inderal,0.25,14,6,2,0.21428571428571427,0.07142857142857142,0.625
diprivan,0.25,4,1,0,0.0,0.0,0.625
echinacea,0.25,4,1,0,0.25,0.0,0.625
ibandronate,0.25,4,1,0,0.25,0.25,0.625
hydroxyurea,0.25,4,1,0,0.25,0.0,0.625
climara,0.25,6,2,0,0.3333333333333333,0.16666666666666666,0.625
sunitinib,0.25,6,2,0,0.3333333333333333,0.3333333333333333,0.625
docusate / senna,0.25,4,1,0,0.0,0.0,0.625
zyprexa zydis,0.25,4,1,0,0.0,0.0,0.625
zenpep,0.25,2,1,0,0.0,0.0,0.625
dutasteride / tamsulosin,0.25,6,3,1,0.0,0.0,0.625
dutasteride,0.25,4,1,0,0.0,0.25,0.625
dulcolax laxative,0.25,4,1,0,0.25,0.5,0.625
zegerid,0.25,4,1,0,0.0,0.25,0.625
temovate,0.25,2,1,0,0.0,0.0,0.625
glyburide,0.25,2,1,0,0.5,0.0,0.625
lidex,0.25,4,2,1,0.0,0.0,0.625
tindamax,0.25,4,2,1,0.0,0.0,0.625
secukinumab,0.25,6,3,1,0.0,0.0,0.625
metamucil,0.25,4,1,0,0.0,0.0,0.625
rytary,0.25,2,1,0,0.5,0.5,0.625
naprosyn,0.25,6,2,0,0.0,0.16666666666666666,0.625
mucinex,0.25,10,5,2,0.0,0.0,0.625
cyclafem 1 / 35,0.25,4,2,1,0.0,0.5,0.625
multivitamin with minerals,0.25,4,1,0,0.0,0.0,0.625
flavoxate,0.25,2,1,0,0.0,0.0,0.625
saliva substitutes,0.25,4,1,0,0.0,0.0,0.625
amitriptyline / perphenazine,0.25,2,1,0,0.0,0.0,0.625
salmeterol,0.25,2,1,0,0.0,0.0,0.625
memantine,0.25,6,2,0,0.0,0.3333333333333333,0.625
toprol-xl,0.25,4,2,1,0.0,0.25,0.625
tivicay,0.25,4,1,0,0.0,0.5,0.625
selenium sulfide,0.25,4,1,0,0.0,0.0,0.625
aplenzin,0.25,2,1,0,0.0,0.5,0.625
exelon,0.25,2,1,0,0.0,0.0,0.625
tylenol,0.25,4,1,0,0.0,0.0,0.625
repatha,0.25,8,2,0,0.0,0.125,0.625
apriso,0.25,4,1,0,0.0,0.5,0.625
benzoyl peroxide,0.25,4,1,0,0.25,0.0,0.625
uricalm,0.25,4,1,0,0.0,0.0,0.625
estrace,0.25,2,1,0,0.0,0.0,0.625
bevacizumab,0.25,2,1,0,0.5,0.5,0.625
niaspan,0.25,4,1,0,0.0,0.0,0.625
estring,0.25,4,2,1,0.0,0.25,0.625
avonex,0.25,8,3,1,0.0,0.125,0.625
epiceram,0.25,4,1,0,0.0,0.0,0.625
eribulin,0.25,2,1,0,0.0,0.0,0.625
zutripro,0.25,2,1,0,0.0,0.0,0.625
vitamin d2,0.25,2,1,0,0.0,0.0,0.625
zocor,0.25,4,1,0,0.0,0.0,0.625
dihydroergotamine,0.25,8,3,1,0.0,0.0,0.625
zytiga,0.25,4,1,0,0.0,0.0,0.625
celebrex,0.24838709677419354,31,13,4,0.03225806451612903,0.25806451612903225,0.6241935483870967
ranitidine,0.2482758620689655,29,13,5,0.0,0.20689655172413793,0.6241379310344828
linaclotide,0.24805194805194808,77,36,10,0.012987012987012988,0.35064935064935066,0.624025974025974
monistat 3-day combination pack,0.248,25,8,0,0.04,0.36,0.624
fexofenadine,0.24705882352941178,17,6,1,0.058823529411764705,0.11764705882352941,0.6235294117647059
prevacid,0.24666666666666667,15,5,0,0.13333333333333333,0.0,0.6233333333333333
magnesium citrate,0.2441860465116279,43,16,5,0.0,0.27906976744186046,0.622093023255814
zohydro er,0.24285714285714285,7,3,0,0.42857142857142855,0.42857142857142855,0.6214285714285714
docosanol,0.2423076923076923,52,15,0,0.0,0.15384615384615385,0.6211538461538462
monistat 7-day combination pack,0.24074074074074073,27,7,0,0.1111111111111111,0.5555555555555556,0.6203703703703703
omeprazole,0.24074074074074073,27,7,0,0.2222222222222222,0.14814814814814814,0.6203703703703703
lithobid,0.24,5,2,0,0.0,0.2,0.62
amrix,0.24,5,2,0,0.0,0.0,0.62
lasix,0.24,5,2,0,0.2,0.2,0.62
pennsaid,0.24,5,2,0,0.2,0.0,0.62
axiron,0.23529411764705882,17,8,3,0.29411764705882354,0.5294117647058824,0.6176470588235294
acetaminophen / propoxyphene,0.23333333333333334,18,7,1,0.0,0.16666666666666666,0.6166666666666667
fluticasone / salmeterol,0.23333333333333334,18,8,2,0.05555555555555555,0.0,0.6166666666666667
proair respiclick,0.2333333333333333,6,3,0,0.0,0.0,0.6166666666666667
skelaxin,0.23333333333333334,15,7,2,0.0,0.13333333333333333,0.6166666666666667
botox,0.2318181818181818,44,14,1,0.022727272727272728,0.2727272727272727,0.615909090909091
meridia,0.2285714285714286,14,6,1,0.07142857142857142,0.21428571428571427,0.6142857142857143
tacrolimus,0.2285714285714286,14,5,0,0.0,0.14285714285714285,0.6142857142857143
humira,0.22753623188405797,69,23,4,0.07246376811594203,0.2318840579710145,0.613768115942029
orlistat,0.22727272727272727,44,11,1,0.022727272727272728,0.3181818181818182,0.6136363636363636
zonegran,0.22727272727272727,11,4,1,0.09090909090909091,0.0,0.6136363636363636
euflexxa,0.22608695652173913,23,9,3,0.17391304347826086,0.2608695652173913,0.6130434782608696
dapsone,0.22380952380952382,42,11,0,0.14285714285714285,0.35714285714285715,0.611904761904762
simvastatin,0.2222222222222222,18,5,0,0.16666666666666666,0.16666666666666666,0.6111111111111112
cambia,0.2222222222222222,9,3,0,0.0,0.1111111111111111,0.6111111111111112
sildenafil,0.22105263157894736,57,19,2,0.3684210526315789,0.19298245614035087,0.6105263157894737
zolmitriptan,0.2210526315789474,19,6,0,0.0,0.2631578947368421,0.6105263157894737
saphris,0.22058823529411764,34,16,7,0.17647058823529413,0.38235294117647056,0.6102941176470589
isotretinoin,0.22039473684210525,152,53,10,0.2236842105263158,0.34868421052631576,0.6101973684210527
ciclopirox,0.22000000000000003,10,3,0,0.0,0.0,0.61
sklice,0.22000000000000003,10,3,0,0.0,0.1,0.61
acetaminophen / aspirin / caffeine,0.21923076923076923,26,12,5,0.038461538461538464,0.19230769230769232,0.6096153846153847
dicyclomine,0.21875,32,15,7,0.15625,0.0625,0.609375
simponi,0.21875,16,5,1,0.125,0.125,0.609375
magnesium hydroxide,0.21764705882352942,17,7,1,0.058823529411764705,0.35294117647058826,0.6088235294117648
benicar,0.21739130434782608,23,9,3,0.391304347826087,0.2608695652173913,0.6086956521739131
percocet,0.21714285714285714,35,14,5,0.05714285714285714,0.08571428571428572,0.6085714285714285
mesalamine,0.21707317073170732,41,15,4,0.07317073170731707,0.17073170731707318,0.6085365853658536
tenuate,0.21666666666666667,12,4,0,0.25,0.3333333333333333,0.6083333333333334
differin,0.2157894736842105,38,11,2,0.02631578947368421,0.18421052631578946,0.6078947368421053
penicillin v potassium,0.21428571428571427,7,2,0,0.0,0.14285714285714285,0.6071428571428571
actos,0.21428571428571427,7,2,0,0.2857142857142857,0.0,0.6071428571428571
flomax,0.21428571428571427,28,10,4,0.03571428571428571,0.21428571428571427,0.6071428571428571
dapagliflozin,0.21428571428571427,14,4,1,0.0,0.14285714285714285,0.6071428571428571
eflornithine,0.21428571428571427,21,7,2,0.0,0.3333333333333333,0.6071428571428571
myrbetriq,0.21363636363636365,22,8,1,0.3181818181818182,0.045454545454545456,0.6068181818181818
miconazole,0.21148036253776434,331,92,5,0.012084592145015106,0.3504531722054381,0.6057401812688822
oxymorphone,0.2097560975609756,41,16,1,0.4146341463414634,0.24390243902439024,0.6048780487804878
protonix,0.20833333333333334,12,3,0,0.08333333333333333,0.0,0.6041666666666666
loperamide,0.20833333333333334,12,4,1,0.0,0.08333333333333333,0.6041666666666666
linzess,0.208,75,28,4,0.013333333333333334,0.22666666666666666,0.604
testosterone,0.20505050505050507,99,38,9,0.20202020202020202,0.30303030303030304,0.6025252525252526
claravis,0.2037037037037037,27,10,4,0.37037037037037035,0.3333333333333333,0.6018518518518519
ketoprofen,0.2,5,1,0,0.0,0.0,0.6
lotrel,0.2,5,1,0,0.4,0.2,0.6
xeljanz,0.2,5,1,0,0.0,0.2,0.6
zithromax,0.2,20,6,1,0.0,0.25,0.6
biotin,0.2,5,1,0,0.2,0.4,0.6
dolophine,0.2,5,1,0,0.2,0.2,0.6
nitroglycerin,0.2,5,1,0,0.2,0.2,0.6
mobic,0.2,21,7,2,0.09523809523809523,0.19047619047619047,0.6
alcaftadine,0.2,5,2,1,0.0,0.2,0.6
tadalafil,0.2,72,22,0,0.4305555555555556,0.3055555555555556,0.6
complera,0.2,10,3,1,0.1,0.5,0.6
vicoprofen,0.2,8,3,0,0.25,0.125,0.6
fanapt,0.2,5,2,1,0.0,0.2,0.6
eucrisa,0.2,5,3,2,0.2,0.4,0.6
trihexyphenidyl,0.2,5,2,1,0.0,0.0,0.6
aczone,0.2,37,11,2,0.16216216216216217,0.3783783783783784,0.6
calcipotriene,0.2,5,1,0,0.0,0.0,0.6
ivermectin,0.2,26,8,2,0.0,0.19230769230769232,0.6
iloperidone,0.2,5,1,0,0.0,0.0,0.6
simply sleep,0.19999999999999998,6,3,1,0.0,0.0,0.6
jalyn,0.2,5,1,0,0.0,0.0,0.6
sodium biphosphate / sodium phosphate,0.2,5,1,0,0.0,0.0,0.6
denavir,0.2,5,1,0,0.0,0.2,0.6
enbrel,0.19743589743589743,39,13,4,0.1282051282051282,0.1282051282051282,0.5987179487179487
cipro,0.1951219512195122,41,12,2,0.0,0.0975609756097561,0.5975609756097561
tapentadol,0.19482758620689655,58,23,4,0.25862068965517243,0.1896551724137931,0.5974137931034482
